word,count,percentage
appearance,21,0.0416
approach,21,0.0416
matter,21,0.0416
up,21,0.0416
floral,21,0.0416
appear,21,0.0416
seen,21,0.0416
reflecting,21,0.0416
gaze,21,0.0416
person,21,0.0416
open,21,0.0416
lace,21,0.0416
elongated,20,0.0396
tranquility,20,0.0396
focused,20,0.0396
due,20,0.0396
surface,20,0.0396
across,20,0.0396
fruits,20,0.0396
each,20,0.0396
backdrop,20,0.0396
beauty,20,0.0396
prominent,20,0.0396
scenes,20,0.0396
era,20,0.0396
back,20,0.0396
about,20,0.0396
domestic,20,0.0396
paul,20,0.0396
expressive,20,0.0396
black,19,0.0377
emotional,19,0.0377
reflects,19,0.0377
ukiyo,19,0.0377
e,19,0.0377
near,19,0.0377
areas,19,0.0377
being,19,0.0377
fabric,19,0.0377
tamara,19,0.0377
intimate,19,0.0377
add,19,0.0377
something,19,0.0377
window,19,0.0377
lush,19,0.0377
if,19,0.0377
boats,19,0.0377
particular,18,0.0357
individual,18,0.0357
minimalistic,18,0.0357
pink,18,0.0357
surrounding,18,0.0357
japanese,18,0.0357
shading,18,0.0357
peaceful,18,0.0357
executed,18,0.0357
particularly,18,0.0357
posture,18,0.0357
captured,18,0.0357
interior,18,0.0357
fashion,18,0.0357
relaxed,18,0.0357
reds,18,0.0357
shown,18,0.0357
bowl,18,0.0357
realism,18,0.0357
have,18,0.0357
text,18,0.0357
sea,18,0.0357
naïve,18,0.0357
sophistication,17,0.0337
enhancing,17,0.0337
decorative,17,0.0337
simplified,17,0.0337
see,17,0.0337
theme,17,0.0337
somewhat,17,0.0337
textures,17,0.0337
suggested,17,0.0337
religious,17,0.0337
contribute,17,0.0337
us,17,0.0337
vivid,17,0.0337
arms,17,0.0337
limited,17,0.0337
mother,17,0.0337
tranquil,17,0.0337
horse,17,0.0337
pablo,17,0.0337
character,16,0.0317
similar,16,0.0317
lap,16,0.0317
ability,16,0.0317
shoulders,16,0.0317
under,16,0.0317
almost,16,0.0317
drawing,16,0.0317
next,16,0.0317
greens,16,0.0317
arm,16,0.0317
wall,16,0.0317
evoke,16,0.0317
engaged,16,0.0317
outdoor,16,0.0317
most,16,0.0317
garden,16,0.0317
ballet,16,0.0317
van,16,0.0317
gogh,16,0.0317
eyes,15,0.0297
skin,15,0.0297
hints,15,0.0297
flower,15,0.0297
surroundings,15,0.0297
play,15,0.0297
given,15,0.0297
directed,15,0.0297
late,15,0.0297
children,15,0.0297
narrative,15,0.0297
portraiture,15,0.0297
here,15,0.0297
themes,15,0.0297
gently,15,0.0297
yellows,15,0.0297
upper,15,0.0297
highlights,15,0.0297
design,15,0.0297
view,15,0.0297
vase,15,0.0297
book,15,0.0297
been,15,0.0297
building,15,0.0297
chagall,15,0.0297
tender,15,0.0297
iconic,15,0.0297
female,14,0.0277
nude,14,0.0277
intensity,14,0.0277
represent,14,0.0277
additional,14,0.0277
ground,14,0.0277
paintings,14,0.0277
signed,14,0.0277
itself,14,0.0277
would,14,0.0277
positioned,14,0.0277
styles,14,0.0277
when,14,0.0277
lighter,14,0.0277
provide,14,0.0277
off,14,0.0277
effects,14,0.0277
fine,14,0.0277
dimensional,14,0.0277
solid,14,0.0277
different,14,0.0277
culture,14,0.0277
named,13,0.0258
painter,13,0.0258
predominantly,13,0.0258
significant,13,0.0258
line,13,0.0258
does,13,0.0258
dimensionality,13,0.0258
consistent,13,0.0258
full,13,0.0258
prominently,13,0.0258
several,13,0.0258
either,13,0.0258
drapery,13,0.0258
depicting,13,0.0258
directly,13,0.0258
facing,13,0.0258
introspection,13,0.0258
conveys,13,0.0258
fleeting,13,0.0258
shadows,13,0.0258
bench,13,0.0258
front,13,0.0258
throughout,13,0.0258
greenery,13,0.0258
touch,13,0.0258
fluid,13,0.0258
feel,12,0.0238
just,12,0.0238
indeed,12,0.0238
we,12,0.0238
quite,12,0.0238
viewers,12,0.0238
falls,12,0.0238
focuses,12,0.0238
architecture,12,0.0238
shape,12,0.0238
set,12,0.0238
allowing,12,0.0238
calm,12,0.0238
level,12,0.0238
folds,12,0.0238
innocence,12,0.0238
artists,12,0.0238
status,12,0.0238
area,12,0.0238
st,12,0.0238
all,12,0.0238
clouds,12,0.0238
down,12,0.0238
placed,12,0.0238
hint,12,0.0238
motion,12,0.0238
waves,12,0.0238
gazes,12,0.0238
popular,12,0.0238
outside,12,0.0238
sleeves,12,0.0238
away,12,0.0238
cut,12,0.0238
influence,12,0.0238
specific,12,0.0238
unique,12,0.0238
cubist,12,0.0238
distinct,12,0.0238
degas,12,0.0238
grid,12,0.0238
orange,11,0.0218
leaves,11,0.0218
exudes,11,0.0218
done,11,0.0218
feature,11,0.0218
portraits,11,0.0218
showcases,11,0.0218
expressionism,11,0.0218
contributes,11,0.0218
despite,11,0.0218
purple,11,0.0218
close,11,0.0218
hokusai,11,0.0218
representing,11,0.0218
boat,11,0.0218
enhances,11,0.0218
showcasing,11,0.0218
deep,11,0.0218
certain,11,0.0218
strokes,11,0.0218
many,11,0.0218
family,11,0.0218
symmetry,11,0.0218
aligns,11,0.0218
modernity,11,0.0218
formal,11,0.0218
contours,11,0.0218
looks,11,0.0218
study,11,0.0218
volume,11,0.0218
feathers,11,0.0218
bouquet,11,0.0218
presents,11,0.0218
leading,11,0.0218
bird,11,0.0218
energy,11,0.0218
edge,11,0.0218
century,11,0.0218
partially,11,0.0218
arranged,11,0.0218
blend,11,0.0218
based,11,0.0218
lady,11,0.0218
warmth,11,0.0218
neckline,11,0.0218
outfit,11,0.0218
engrossed,11,0.0218
larger,11,0.0218
dreamlike,11,0.0218
colorful,11,0.0218
graphic,11,0.0218
baroque,11,0.0218
beautiful,10,0.0198
nose,10,0.0198
indoor,10,0.0198
personal,10,0.0198
allows,10,0.0198
provides,10,0.0198
main,10,0.0198
fully,10,0.0198
tree,10,0.0198
oranges,10,0.0198
stand,10,0.0198
19th,10,0.0198
point,10,0.0198
him,10,0.0198
proportions,10,0.0198
beyond,10,0.0198
reclining,10,0.0198
boy,10,0.0198
mythology,10,0.0198
mythological,10,0.0198
john,10,0.0198
emphasize,10,0.0198
consists,10,0.0198
earthy,10,0.0198
legs,10,0.0198
uses,10,0.0198
bed,10,0.0198
look,10,0.0198
wide,10,0.0198
information,10,0.0198
together,10,0.0198
performance,10,0.0198
sits,10,0.0198
softly,10,0.0198
covered,10,0.0198
day,10,0.0198
important,10,0.0198
shared,10,0.0198
fuji,10,0.0198
primarily,9,0.0178
clearly,9,0.0178
smooth,9,0.0178
multiple,9,0.0178
highlighting,9,0.0178
famous,9,0.0178
wooden,9,0.0178
complements,9,0.0178
reality,9,0.0178
love,9,0.0178
couch,9,0.0178
present,9,0.0178
balanced,9,0.0178
world,9,0.0178
elegantly,9,0.0178
items,9,0.0178
using,9,0.0178
portrayed,9,0.0178
curtains,9,0.0178
focal,9,0.0178
portrayal,9,0.0178
tone,9,0.0178
harmonious,9,0.0178
cloth,9,0.0178
specifically,9,0.0178
choice,9,0.0178
reading,9,0.0178
environment,9,0.0178
connection,9,0.0178
uccello,9,0.0178
description,9,0.0178
brown,9,0.0178
base,9,0.0178
ornate,9,0.0178
place,9,0.0178
harmony,9,0.0178
scattered,9,0.0178
primitivism,9,0.0178
blouse,9,0.0178
balance,9,0.0178
squares,9,0.0178
neoclassical,9,0.0178
history,9,0.0178
do,9,0.0178
mount,9,0.0178
gauguin,9,0.0178
physical,8,0.0159
modigliani,8,0.0159
eye,8,0.0159
cool,8,0.0159
rural,8,0.0159
smaller,8,0.0159
plant,8,0.0159
meticulous,8,0.0159
stark,8,0.0159
plate,8,0.0159
prints,8,0.0159
techniques,8,0.0159
katsushika,8,0.0159
attributed,8,0.0159
shore,8,0.0159
activities,8,0.0159
reflection,8,0.0159
renowned,8,0.0159
role,8,0.0159
canvas,8,0.0159
hallmark,8,0.0159
were,8,0.0159
elaborate,8,0.0159
designs,8,0.0159
engagement,8,0.0159
importance,8,0.0159
presumably,8,0.0159
although,8,0.0159
object,8,0.0159
lips,8,0.0159
raised,8,0.0159
shoulder,8,0.0159
hallmarks,8,0.0159
short,8,0.0159
crossed,8,0.0159
buildings,8,0.0159
updo,8,0.0159
vertical,8,0.0159
playing,8,0.0159
guitar,8,0.0159
draws,8,0.0159
headdress,8,0.0159
20th,8,0.0159
gazing,8,0.0159
own,8,0.0159
paolo,8,0.0159
typically,8,0.0159
note,8,0.0159
ethereal,8,0.0159
social,8,0.0159
adult,8,0.0159
any,8,0.0159
naturalistic,8,0.0159
rendering,8,0.0159
group,8,0.0159
coastal,8,0.0159
mid,8,0.0159
daily,8,0.0159
sandy,8,0.0159
brush,8,0.0159
apples,8,0.0159
park,8,0.0159
glass,8,0.0159
french,8,0.0159
plants,8,0.0159
door,8,0.0159
comfortably,8,0.0159
windows,8,0.0159
interpretation,8,0.0159
distance,8,0.0159
inviting,8,0.0159
exaggerated,8,0.0159
singer,8,0.0159
dancer,8,0.0159
fauvism,8,0.0159
queen,8,0.0159
sargent,8,0.0159
american,8,0.0159
mountain,8,0.0159
romantic,8,0.0159
fan,7,0.0139
key,7,0.0139
invites,7,0.0139
state,7,0.0139
dynamism,7,0.0139
range,7,0.0139
pale,7,0.0139
whites,7,0.0139
experience,7,0.0139
however,7,0.0139
arrangement,7,0.0139
distinctly,7,0.0139
surfaces,7,0.0139
presented,7,0.0139
shoreline,7,0.0139
floating,7,0.0139
skill,7,0.0139
air,7,0.0139
thought,7,0.0139
venus,7,0.0139
related,7,0.0139
example,7,0.0139
male,7,0.0139
christian,7,0.0139
jesus,7,0.0139
joseph,7,0.0139
hip,7,0.0139
significance,7,0.0139
intimacy,7,0.0139
streamlined,7,0.0139
indicates,7,0.0139
dominant,7,0.0139
thoughtful,7,0.0139
revealing,7,0.0139
neutral,7,0.0139
jacket,7,0.0139
beneath,7,0.0139
ruffled,7,0.0139
dream,7,0.0139
neck,7,0.0139
stage,7,0.0139
motif,7,0.0139
drawn,7,0.0139
characters,7,0.0139
ruffles,7,0.0139
maintaining,7,0.0139
identified,7,0.0139
textured,7,0.0139
dimension,7,0.0139
dragon,7,0.0139
sunlight,7,0.0139
sorolla,7,0.0139
spanish,7,0.0139
people,7,0.0139
qualities,7,0.0139
activity,7,0.0139
seem,7,0.0139
interaction,7,0.0139
patterned,7,0.0139
village,7,0.0139
depict,7,0.0139
seemingly,7,0.0139
surreal,7,0.0139
hue,7,0.0139
edgar,7,0.0139
dancers,7,0.0139
atmospheric,7,0.0139
motifs,7,0.0139
print,7,0.0139
bergman,7,0.0139
japan,7,0.0139
romanticism,7,0.0139
nouveau,6,0.0119
calmness,6,0.0119
curves,6,0.0119
pinks,6,0.0119
horizon,6,0.0119
composed,6,0.0119
precisionism,6,0.0119
later,6,0.0119
lifelike,6,0.0119
organic,6,0.0119
parts,6,0.0119
defined,6,0.0119
sharp,6,0.0119
series,6,0.0119
others,6,0.0119
plain,6,0.0119
roof,6,0.0119
chest,6,0.0119
symbolizing,6,0.0119
divine,6,0.0119
new,6,0.0119
broad,6,0.0119
fitting,6,0.0119
symbolize,6,0.0119
lively,6,0.0119
texts,6,0.0119
robe,6,0.0119
matches,6,0.0119
scheme,6,0.0119
sharply,6,0.0119
comfort,6,0.0119
ancient,6,0.0119
quarter,6,0.0119
drapes,6,0.0119
makeup,6,0.0119
trim,6,0.0119
accentuates,6,0.0119
saint,6,0.0119
artworks,6,0.0119
fashionable,6,0.0119
especially,6,0.0119
complete,6,0.0119
extended,6,0.0119
hinting,6,0.0119
beautifully,6,0.0119
type,6,0.0119
panels,6,0.0119
panel,6,0.0119
christ,6,0.0119
angel,6,0.0119
framed,6,0.0119
round,6,0.0119
purity,6,0.0119
careful,6,0.0119
explore,6,0.0119
statue,6,0.0119
leg,6,0.0119
grandeur,6,0.0119
accurately,6,0.0119
precise,6,0.0119
pearls,6,0.0119
joaquín,6,0.0119
enjoying,6,0.0119
girls,6,0.0119
sand,6,0.0119
leisurely,6,0.0119
ocean,6,0.0119
stillness,6,0.0119
obscured,6,0.0119
location,6,0.0119
clown,6,0.0119
harlequin,6,0.0119
costume,6,0.0119
mirror,6,0.0119
content,6,0.0119
rest,6,0.0119
accents,6,0.0119
road,6,0.0119
classic,6,0.0119
walls,6,0.0119
pastoral,6,0.0119
pictures,6,0.0119
story,6,0.0119
rhythm,6,0.0119
bridge,6,0.0119
resembles,6,0.0119
neoclassicism,6,0.0119
seascape,6,0.0119
rests,6,0.0119
tropical,6,0.0119
creation,6,0.0119
marine,6,0.0119
yourself,6,0.0119
diego,6,0.0119
palace,6,0.0119
regal,5,0.0099
making,5,0.0099
aspect,5,0.0099
name,5,0.0099
identity,5,0.0099
distract,5,0.0099
fascination,5,0.0099
structures,5,0.0099
belongs,5,0.0099
delicate,5,0.0099
precision,5,0.0099
pieces,5,0.0099
flying,5,0.0099
detract,5,0.0099
birds,5,0.0099
themselves,5,0.0099
lake,5,0.0099
centuries,5,0.0099
fishing,5,0.0099
mannerist,5,0.0099
extends,5,0.0099
highlight,5,0.0099
captivating,5,0.0099
roman,5,0.0099
luxurious,5,0.0099
include,5,0.0099
armor,5,0.0099
highly,5,0.0099
solemnity,5,0.0099
lying,5,0.0099
ambiance,5,0.0099
confirming,5,0.0099
lends,5,0.0099
audience,5,0.0099
forward,5,0.0099
middle,5,0.0099
summer,5,0.0099
compared,5,0.0099
shade,5,0.0099
authorship,5,0.0099
unmistakably,5,0.0099
i,5,0.0099
ease,5,0.0099
sails,5,0.0099
closely,5,0.0099
intense,5,0.0099
melancholic,5,0.0099
car,5,0.0099
poised,5,0.0099
aesthetics,5,0.0099
grays,5,0.0099
planes,5,0.0099
take,5,0.0099
engaging,5,0.0099
detailing,5,0.0099
softness,5,0.0099
past,5,0.0099
indoors,5,0.0099
glimpse,5,0.0099
divided,5,0.0099
sections,5,0.0099
single,5,0.0099
helps,5,0.0099
serenity,5,0.0099
dominic,5,0.0099
order,5,0.0099
symbol,5,0.0099
symbolic,5,0.0099
curtain,5,0.0099
serves,5,0.0099
knight,5,0.0099
though,5,0.0099
joy,5,0.0099
carefully,5,0.0099
embroidery,5,0.0099
cultural,5,0.0099
outdoors,5,0.0099
expanse,5,0.0099
dresses,5,0.0099
walking,5,0.0099
afternoon,5,0.0099
cooler,5,0.0099
event,5,0.0099
houses,5,0.0099
vegetation,5,0.0099
shirt,5,0.0099
define,5,0.0099
vegetables,5,0.0099
wood,5,0.0099
situated,5,0.0099
cubism,5,0.0099
sign,5,0.0099
script,5,0.0099
chairs,5,0.0099
size,5,0.0099
marc,5,0.0099
observing,5,0.0099
clock,5,0.0099
night,5,0.0099
town,5,0.0099
found,5,0.0099
impact,5,0.0099
perched,5,0.0099
saturated,5,0.0099
ballerina,5,0.0099
theater,5,0.0099
dance,5,0.0099
abstracted,5,0.0099
those,5,0.0099
spontaneity,5,0.0099
much,5,0.0099
flora,5,0.0099
mass,5,0.0099
ingrid,5,0.0099
velázquez,5,0.0099
power,5,0.0099
macbeth,5,0.0099
bond,5,0.0099
mastery,4,0.0079
cascades,4,0.0079
mouth,4,0.0079
horizontal,4,0.0079
o,4,0.0079
keeffe,4,0.0079
roofs,4,0.0079
surrealistic,4,0.0079
surrounded,4,0.0079
oeuvre,4,0.0079
inspired,4,0.0079
symmetrical,4,0.0079
angles,4,0.0079
bare,4,0.0079
childlike,4,0.0079
poses,4,0.0079
woodblock,4,0.0079
depictions,4,0.0079
17th,4,0.0079
thatched,4,0.0079
rustic,4,0.0079
beside,4,0.0079
slender,4,0.0079
mountains,4,0.0079
emphasized,4,0.0079
sculptural,4,0.0079
fabrics,4,0.0079
richly,4,0.0079
enhance,4,0.0079
skillful,4,0.0079
how,4,0.0079
beard,4,0.0079
direct,4,0.0079
observer,4,0.0079
demeanor,4,0.0079
infant,4,0.0079
son,4,0.0079
older,4,0.0079
scroll,4,0.0079
kind,4,0.0079
compositions,4,0.0079
companionship,4,0.0079
visually,4,0.0079
confident,4,0.0079
class,4,0.0079
suit,4,0.0079
society,4,0.0079
fluidity,4,0.0079
browns,4,0.0079
care,4,0.0079
angle,4,0.0079
mystery,4,0.0079
idealized,4,0.0079
evidenced,4,0.0079
hairstyle,4,0.0079
pronounced,4,0.0079
complement,4,0.0079
headscarf,4,0.0079
angular,4,0.0079
fur,4,0.0079
evening,4,0.0079
casually,4,0.0079
necklace,4,0.0079
portrayals,4,0.0079
principles,4,0.0079
nun,4,0.0079
only,4,0.0079
curved,4,0.0079
item,4,0.0079
vibrancy,4,0.0079
grapes,4,0.0079
held,4,0.0079
roses,4,0.0079
blurred,4,0.0079
cross,4,0.0079
hope,4,0.0079
meticulously,4,0.0079
halo,4,0.0079
source,4,0.0079
otherwise,4,0.0079
implies,4,0.0079
commonly,4,0.0079
so,4,0.0079
expressions,4,0.0079
somber,4,0.0079
covers,4,0.0079
simply,4,0.0079
doorway,4,0.0079
column,4,0.0079
rocky,4,0.0079
vast,4,0.0079
lapping,4,0.0079
sailboat,4,0.0079
times,4,0.0079
sun,4,0.0079
leisure,4,0.0079
onto,4,0.0079
solitude,4,0.0079
bathers,4,0.0079
among,4,0.0079
liquid,4,0.0079
varied,4,0.0079
harmoniously,4,0.0079
ripe,4,0.0079
inside,4,0.0079
paint,4,0.0079
brim,4,0.0079
subtly,4,0.0079
interest,4,0.0079
bodies,4,0.0079
displayed,4,0.0079
furniture,4,0.0079
blending,4,0.0079
hanging,4,0.0079
application,4,0.0079
symbolism,4,0.0079
freedom,4,0.0079
fantastical,4,0.0079
difficult,4,0.0079
floor,4,0.0079
vision,4,0.0079
lack,4,0.0079
imply,4,0.0079
terms,4,0.0079
actual,4,0.0079
variety,4,0.0079
1,4,0.0079
fish,4,0.0079
3,4,0.0079
reflect,4,0.0079
halves,4,0.0079
distraction,4,0.0079
minimal,4,0.0079
sketchy,4,0.0079
individuals,4,0.0079
drama,4,0.0079
lives,4,0.0079
after,4,0.0079
rectangles,4,0.0079
blocks,4,0.0079
representational,4,0.0079
showing,4,0.0079
waist,4,0.0079
years,4,0.0079
bow,4,0.0079
backrest,4,0.0079
someone,4,0.0079
old,4,0.0079
armchair,4,0.0079
france,4,0.0079
identifying,4,0.0079
centrally,4,0.0079
original,4,0.0079
spontaneous,4,0.0079
automatic,4,0.0079
subconscious,4,0.0079
cutouts,4,0.0079
amidst,4,0.0079
creatures,4,0.0079
below,4,0.0079
illustration,4,0.0079
employed,4,0.0079
commercial,4,0.0079
consumer,4,0.0079
repetition,4,0.0079
elizabeth,4,0.0079
recognizable,4,0.0079
frog,4,0.0079
herself,4,0.0079
fair,4,0.0079
closed,4,0.0079
truck,4,0.0079
velazquez,4,0.0079
active,4,0.0079
moments,4,0.0079
faces,4,0.0079
ellen,4,0.0079
terry,4,0.0079
printmaker,4,0.0079
idyllic,4,0.0079
western,4,0.0079
cat,4,0.0079
wave,4,0.0079
volkswagen,4,0.0079
circles,4,0.0079
fritza,3,0.0059
flows,3,0.0059
bodice,3,0.0059
dots,3,0.0059
refinement,3,0.0059
testament,3,0.0059
amedeo,3,0.0059
alice,3,0.0059
figurative,3,0.0059
carries,3,0.0059
combined,3,0.0059
georgia,3,0.0059
align,3,0.0059
petals,3,0.0059
bloom,3,0.0059
gradient,3,0.0059
clarity,3,0.0059
hill,3,0.0059
terrain,3,0.0059
relatively,3,0.0059
tangerine,3,0.0059
cranes,3,0.0059
grey,3,0.0059
flourished,3,0.0059
meets,3,0.0059
silhouettes,3,0.0059
effective,3,0.0059
demonstrates,3,0.0059
seriousness,3,0.0059
skillfully,3,0.0059
cupid,3,0.0059
allegorical,3,0.0059
cherub,3,0.0059
baby,3,0.0059
association,3,0.0059
corners,3,0.0059
youthful,3,0.0059
luxury,3,0.0059
opulence,3,0.0059
prime,3,0.0059
sought,3,0.0059
tradition,3,0.0059
robes,3,0.0059
represents,3,0.0059
sleek,3,0.0059
pearl,3,0.0059
jewelry,3,0.0059
confidence,3,0.0059
allure,3,0.0059
tie,3,0.0059
members,3,0.0059
1920s,3,0.0059
1930s,3,0.0059
model,3,0.0059
la,3,0.0059
belle,3,0.0059
slight,3,0.0059
stripes,3,0.0059
trends,3,0.0059
complexion,3,0.0059
entirely,3,0.0059
characteristics,3,0.0059
brimmed,3,0.0059
feather,3,0.0059
celebration,3,0.0059
modern,3,0.0059
lipstick,3,0.0059
neatly,3,0.0059
appeal,3,0.0059
makes,3,0.0059
embracing,3,0.0059
dancing,3,0.0059
purples,3,0.0059
self,3,0.0059
vehicle,3,0.0059
dr,3,0.0059
boucard,3,0.0059
concentration,3,0.0059
winter,3,0.0059
leaning,3,0.0059
moody,3,0.0059
m,3,0.0059
turban,3,0.0059
remain,3,0.0059
city,3,0.0059
adam,3,0.0059
eve,3,0.0059
complexity,3,0.0059
nostalgia,3,0.0059
