bigrams,count,percentage,pos
reminiscent of,36,0.0718,"adj,other"
towards the,36,0.0718,"noun,other"
the impressionist,36,0.0718,"other,adj"
in her,35,0.0698,"other,other"
overall the,35,0.0698,"adj,other"
the essence,35,0.0698,"other,noun"
essence of,35,0.0698,"noun,other"
side of,35,0.0698,"verb,other"
this artwork,35,0.0698,"other,noun"
within the,35,0.0698,"other,other"
the child,35,0.0698,"other,noun"
right corner,35,0.0698,"adj,noun"
mary cassatt,35,0.0698,"adj,noun"
movement and,34,0.0678,"noun,other"
style the,34,0.0678,"noun,other"
as the,34,0.0678,"other,other"
one of,34,0.0678,"other,other"
of impressionism,34,0.0678,"other,noun"
portrait of,32,0.0638,"verb,other"
has a,32,0.0638,"verb,other"
face and,32,0.0638,"verb,other"
still life,32,0.0638,"adv,noun"
colors used,32,0.0638,"noun,adj"
dress with,32,0.0638,"noun,other"
loose brushstrokes,32,0.0638,"adj,noun"
a portrait,31,0.0618,"other,verb"
of movement,31,0.0618,"other,noun"
woman s,31,0.0618,"noun,noun"
or a,31,0.0618,"other,other"
post impressionist,31,0.0618,"noun,adj"
to her,31,0.0618,"other,other"
indicative of,31,0.0618,"adj,other"
shapes and,31,0.0618,"noun,other"
a moment,31,0.0618,"other,noun"
that could,30,0.0598,"other,other"
of art,30,0.0598,"other,noun"
with its,30,0.0598,"other,other"
for its,30,0.0598,"other,other"
are characteristic,30,0.0598,"verb,adj"
suggests a,30,0.0598,"verb,other"
she has,29,0.0578,"other,verb"
captures the,29,0.0578,"verb,other"
for his,29,0.0578,"other,other"
contributing to,29,0.0578,"verb,other"
what seems,29,0.0578,"other,verb"
which adds,29,0.0578,"other,verb"
around her,28,0.0558,"other,other"
adding to,28,0.0558,"verb,other"
figure is,28,0.0558,"noun,verb"
capturing the,28,0.0558,"verb,other"
a large,28,0.0558,"other,adj"
s signature,28,0.0558,"noun,noun"
part of,28,0.0558,"noun,other"
artwork depicts,28,0.0558,"noun,noun"
it s,28,0.0558,"other,noun"
and color,28,0.0558,"other,noun"
s face,27,0.0538,"noun,verb"
of this,27,0.0538,"other,other"
indicated by,27,0.0538,"verb,other"
for the,27,0.0538,"other,other"
she holds,26,0.0518,"other,verb"
that are,26,0.0518,"other,verb"
against the,26,0.0518,"other,other"
a stylized,26,0.0518,"other,verb"
her head,26,0.0518,"other,noun"
of depth,26,0.0518,"other,adj"
her face,26,0.0518,"other,verb"
vibrant colors,26,0.0518,"adj,noun"
a white,26,0.0518,"other,adj"
figures are,26,0.0518,"noun,verb"
the bottom,26,0.0518,"other,noun"
to detail,26,0.0518,"other,noun"
moment of,26,0.0518,"noun,other"
portrays a,25,0.0498,"verb,other"
the water,25,0.0498,"other,noun"
is depicted,25,0.0498,"verb,verb"
colors are,25,0.0498,"noun,verb"
a vibrant,25,0.0498,"other,adj"
seated on,24,0.0478,"verb,other"
is evident,24,0.0478,"verb,adj"
and her,24,0.0478,"other,other"
dominated by,24,0.0478,"verb,other"
that suggests,24,0.0478,"other,verb"
its emphasis,24,0.0478,"other,noun"
to create,24,0.0478,"other,noun"
adds to,24,0.0478,"verb,other"
as indicated,24,0.0478,"other,verb"
expression is,24,0.0478,"noun,verb"
captures a,24,0.0478,"verb,other"
the figures,24,0.0478,"other,noun"
brushstrokes that,24,0.0478,"noun,other"
henri matisse,24,0.0478,"adj,adj"
be interpreted,23,0.0459,"verb,verb"
it is,23,0.0459,"other,verb"
composition the,23,0.0459,"noun,other"
earth tones,23,0.0459,"noun,noun"
clean lines,23,0.0459,"verb,noun"
geometric shapes,23,0.0459,"adj,noun"
creates a,23,0.0459,"noun,other"
evident in,23,0.0459,"adj,other"
the foreground,23,0.0459,"other,noun"
artist has,23,0.0459,"noun,verb"
is dressed,23,0.0459,"verb,verb"
deco style,23,0.0459,"adj,noun"
subject s,23,0.0459,"adj,noun"
mood of,23,0.0459,"noun,other"
left side,23,0.0459,"verb,verb"
early renaissance,23,0.0459,"adj,noun"
depiction of,23,0.0459,"noun,other"
andy warhol,23,0.0459,"noun,noun"
atmosphere the,22,0.0439,"adv,other"
tones that,22,0.0439,"noun,other"
brushstrokes and,22,0.0439,"noun,other"
is visible,22,0.0439,"verb,adj"
the lower,22,0.0439,"other,adj"
created by,22,0.0439,"verb,other"
a serene,22,0.0439,"other,adj"
depth to,22,0.0439,"adj,other"
figure s,22,0.0439,"noun,noun"
a scene,22,0.0439,"other,noun"
hair and,22,0.0439,"adj,other"
bold lines,22,0.0439,"verb,noun"
her hair,22,0.0439,"other,adj"
soft and,22,0.0439,"adj,other"
bright colors,22,0.0439,"verb,noun"
composition and,22,0.0439,"noun,other"
emphasizing the,22,0.0439,"verb,other"
provided appears,22,0.0439,"verb,verb"
the sky,22,0.0439,"other,adj"
image portrays,21,0.0419,"noun,verb"
interpreted as,21,0.0419,"verb,other"
that this,21,0.0419,"other,other"
adding a,21,0.0419,"verb,other"
a focus,21,0.0419,"other,noun"
dominating the,21,0.0419,"adj,other"
or perhaps,21,0.0419,"other,adv"
subject matter,21,0.0419,"adj,noun"
shades of,21,0.0419,"noun,other"
is not,21,0.0419,"verb,adv"
art the,21,0.0419,"noun,other"
depicted with,21,0.0419,"verb,other"
de lempicka,21,0.0419,"other,noun"
while the,21,0.0419,"other,other"
the girl,21,0.0419,"other,noun"
the top,20,0.0399,"other,adj"
of an,20,0.0399,"other,other"
this piece,20,0.0399,"other,noun"
create a,20,0.0399,"noun,other"
suggest a,20,0.0399,"noun,other"
with an,20,0.0399,"other,other"
that give,20,0.0399,"other,verb"
due to,20,0.0399,"adj,other"
lower right,20,0.0399,"adj,adj"
is known,20,0.0399,"verb,verb"
against a,20,0.0399,"other,other"
can be,20,0.0399,"other,verb"
through the,20,0.0399,"other,other"
artwork captures,20,0.0399,"noun,verb"
is one,20,0.0399,"verb,other"
the center,20,0.0399,"other,noun"
with one,20,0.0399,"other,other"
providing a,20,0.0399,"verb,other"
young girl,20,0.0399,"adj,noun"
visible in,20,0.0399,"adj,other"
which often,20,0.0399,"other,adv"
on what,20,0.0399,"other,other"
wears a,20,0.0399,"noun,other"
image the,20,0.0399,"noun,other"
that appears,20,0.0399,"other,verb"
capture the,20,0.0399,"noun,other"
warhol s,20,0.0399,"noun,noun"
piece of,19,0.0379,"noun,other"
painted in,19,0.0379,"verb,other"
tones of,19,0.0379,"noun,other"
focusing on,19,0.0379,"verb,other"
an emphasis,19,0.0379,"other,noun"
a still,19,0.0379,"other,adv"
depicted in,19,0.0379,"verb,other"
ukiyo e,19,0.0379,"adj,verb"
style characterized,19,0.0379,"noun,verb"
during the,19,0.0379,"other,other"
and she,19,0.0379,"other,other"
is adorned,19,0.0379,"verb,verb"
a figure,19,0.0379,"other,noun"
used are,19,0.0379,"adj,verb"
a blue,19,0.0379,"other,noun"
the frame,19,0.0379,"other,noun"
this image,19,0.0379,"other,noun"
to capture,19,0.0379,"other,noun"
as if,19,0.0379,"other,other"
on capturing,19,0.0379,"other,verb"
gives the,19,0.0379,"verb,other"
of pop,19,0.0379,"other,noun"
a painting,18,0.0359,"other,verb"
forms and,18,0.0359,"noun,other"
to convey,18,0.0359,"other,noun"
elements of,18,0.0359,"noun,other"
and form,18,0.0359,"other,noun"
an abstract,18,0.0359,"other,adj"
as well,18,0.0359,"other,adv"
is reminiscent,18,0.0359,"verb,adj"
color is,18,0.0359,"noun,verb"
a red,18,0.0359,"other,adj"
a dark,18,0.0359,"other,adj"
executed in,18,0.0359,"verb,other"
work the,18,0.0359,"verb,other"
they are,18,0.0359,"other,verb"
she wears,18,0.0359,"other,noun"
and vibrant,18,0.0359,"other,adj"
of quiet,18,0.0359,"other,adj"
painting the,18,0.0359,"verb,other"
her attire,18,0.0359,"other,noun"
woman is,18,0.0359,"noun,verb"
by bold,18,0.0359,"other,verb"
painting style,18,0.0359,"verb,noun"
the interplay,18,0.0359,"other,noun"
with visible,18,0.0359,"other,adj"
vibrant and,18,0.0359,"adj,other"
loose and,18,0.0359,"adj,other"
this particular,17,0.0339,"other,adj"
impression of,17,0.0339,"noun,other"
is rendered,17,0.0339,"verb,verb"
is dominated,17,0.0339,"verb,verb"
of tranquility,17,0.0339,"other,noun"
is titled,17,0.0339,"verb,verb"
is minimalistic,17,0.0339,"verb,adj"
and an,17,0.0339,"other,other"
right side,17,0.0339,"adj,verb"
around the,17,0.0339,"other,other"
nature of,17,0.0339,"adj,other"
reflecting the,17,0.0339,"verb,other"
that contrasts,17,0.0339,"other,noun"
contrasts with,17,0.0339,"noun,other"
facial features,17,0.0339,"adj,noun"
is executed,17,0.0339,"verb,verb"
from a,17,0.0339,"other,other"
resting on,17,0.0339,"verb,other"
contribute to,17,0.0339,"noun,other"
contrast to,17,0.0339,"noun,other"
s attire,17,0.0339,"noun,noun"
a dynamic,17,0.0339,"other,adj"
styled in,17,0.0339,"verb,other"
hair is,17,0.0339,"adj,verb"
bottom right,17,0.0339,"noun,adj"
suggesting an,17,0.0339,"verb,other"
flat colors,17,0.0339,"adj,noun"
overall mood,17,0.0339,"adj,noun"
is typical,17,0.0339,"verb,adj"
the setting,17,0.0339,"other,verb"
and light,17,0.0339,"other,adj"
cezanne s,17,0.0339,"noun,noun"
naïve art,17,0.0339,"noun,noun"
pablo picasso,17,0.0339,"adj,noun"
matisse s,17,0.0339,"adj,noun"
her body,16,0.0319,"other,noun"
holds a,16,0.0319,"verb,other"
enhancing the,16,0.0319,"verb,other"
her hands,16,0.0319,"other,noun"
ability to,16,0.0319,"noun,other"
a way,16,0.0319,"other,noun"
way that,16,0.0319,"noun,other"
the human,16,0.0319,"other,adj"
that the,16,0.0319,"other,other"
with what,16,0.0319,"other,other"
of post,16,0.0319,"other,noun"
well as,16,0.0319,"adv,other"
appear to,16,0.0319,"verb,other"
was created,16,0.0319,"verb,verb"
a high,16,0.0319,"other,adj"
composition is,16,0.0319,"noun,verb"
the lighting,16,0.0319,"other,verb"
one hand,16,0.0319,"other,noun"
and use,16,0.0319,"other,verb"
of bold,16,0.0319,"other,verb"
may be,16,0.0319,"other,verb"
be an,16,0.0319,"verb,other"
interplay of,16,0.0319,"noun,other"
by loose,16,0.0319,"other,adj"
light colored,16,0.0319,"adj,adj"
is filled,16,0.0319,"verb,verb"
van gogh,16,0.0319,"noun,noun"
a dress,15,0.0299,"other,noun"
dress that,15,0.0299,"noun,other"
style which,15,0.0299,"noun,other"
a simple,15,0.0299,"other,noun"
her lap,15,0.0299,"other,noun"
background there,15,0.0299,"noun,other"
are no,15,0.0299,"verb,other"
this is,15,0.0299,"other,verb"
warm tones,15,0.0299,"adj,noun"
art genre,15,0.0299,"noun,noun"
the portrait,15,0.0299,"other,verb"
that might,15,0.0299,"other,other"
often associated,15,0.0299,"adv,adj"
between the,15,0.0299,"other,other"
post impressionism,15,0.0299,"noun,noun"
and life,15,0.0299,"other,noun"
figure the,15,0.0299,"noun,other"
be seen,15,0.0299,"verb,verb"
are rendered,15,0.0299,"verb,verb"
suggested by,15,0.0299,"verb,other"
along with,15,0.0299,"other,other"
next to,15,0.0299,"adj,other"
in profile,15,0.0299,"other,adj"
that suggest,15,0.0299,"other,noun"
artwork titled,15,0.0299,"noun,verb"
is styled,15,0.0299,"verb,verb"
along the,15,0.0299,"other,other"
a chair,15,0.0299,"other,noun"
and flat,15,0.0299,"other,adj"
a table,15,0.0299,"other,noun"
young woman,15,0.0299,"adj,noun"
figure that,15,0.0299,"noun,other"
to its,15,0.0299,"other,other"
visible brushstrokes,15,0.0299,"adj,noun"
an impressionistic,15,0.0299,"other,adj"
it a,14,0.0279,"other,other"
muted with,14,0.0279,"verb,other"
the focus,14,0.0279,"other,noun"
her expression,14,0.0279,"other,noun"
form and,14,0.0279,"noun,other"
setting the,14,0.0279,"verb,other"
tranquility and,14,0.0279,"noun,other"
focused on,14,0.0279,"verb,other"
hints of,14,0.0279,"noun,other"
suggesting that,14,0.0279,"verb,other"
of flowers,14,0.0279,"other,noun"
detail and,14,0.0279,"noun,other"
in various,14,0.0279,"other,adj"
is subdued,14,0.0279,"verb,verb"
corner indicating,14,0.0279,"noun,verb"
foreground there,14,0.0279,"noun,other"
to a,14,0.0279,"other,other"
the man,14,0.0279,"other,noun"
figures that,14,0.0279,"noun,other"
are typical,14,0.0279,"verb,adj"
scene from,14,0.0279,"noun,other"
is an,14,0.0279,"verb,other"
child s,14,0.0279,"noun,noun"
scene with,14,0.0279,"noun,other"
quality of,14,0.0279,"noun,other"
possibly a,14,0.0279,"adv,other"
tamara de,14,0.0279,"verb,other"
a light,14,0.0279,"other,adj"
viewer s,14,0.0279,"noun,noun"
is shown,14,0.0279,"verb,verb"
colors that,14,0.0279,"noun,other"
s use,14,0.0279,"noun,verb"
includes a,14,0.0279,"verb,other"
engaged in,14,0.0279,"verb,other"
a gentle,14,0.0279,"other,adj"
adds a,14,0.0279,"verb,other"
of bright,14,0.0279,"other,verb"
the light,14,0.0279,"other,adj"
shows a,14,0.0279,"verb,other"
across the,14,0.0279,"other,other"
are also,14,0.0279,"verb,adv"
the room,14,0.0279,"other,noun"
expressionist style,13,0.0259,"verb,noun"
which was,13,0.0259,"other,verb"
does not,13,0.0259,"verb,adv"
a soft,13,0.0259,"other,adj"
in his,13,0.0259,"other,other"
with earth,13,0.0259,"other,noun"
a piece,13,0.0259,"other,noun"
the play,13,0.0259,"other,noun"
play of,13,0.0259,"noun,other"
the side,13,0.0259,"other,verb"
contemplation or,13,0.0259,"noun,other"
and texture,13,0.0259,"other,noun"
is soft,13,0.0259,"verb,adj"
attire and,13,0.0259,"noun,other"
a strong,13,0.0259,"other,adj"
woman seated,13,0.0259,"noun,verb"
that add,13,0.0259,"other,adj"
that captures,13,0.0259,"other,verb"
this style,13,0.0259,"other,noun"
the early,13,0.0259,"other,adj"
outlines and,13,0.0259,"verb,other"
seated and,13,0.0259,"verb,other"
into the,13,0.0259,"other,other"
everyday life,13,0.0259,"adj,noun"
central focus,13,0.0259,"adj,noun"
emphasizes the,13,0.0259,"verb,other"
three dimensional,13,0.0259,"other,adj"
that emphasizes,13,0.0259,"other,verb"
serene and,13,0.0259,"adj,other"
focus is,13,0.0259,"noun,verb"
paul cezanne,13,0.0259,"verb,noun"
over the,13,0.0259,"other,other"
a warm,13,0.0259,"other,adj"
long flowing,12,0.0239,"adj,verb"
attire the,12,0.0239,"noun,other"
out against,12,0.0239,"other,other"
rendered with,12,0.0239,"verb,other"
with soft,12,0.0239,"other,adj"
tones dominating,12,0.0239,"noun,adj"
which could,12,0.0239,"other,other"
consistent with,12,0.0239,"adj,other"
painting captures,12,0.0239,"verb,verb"
and somewhat,12,0.0239,"other,adv"
the vibrant,12,0.0239,"other,adj"
are depicted,12,0.0239,"verb,verb"
indicating that,12,0.0239,"verb,other"
is rich,12,0.0239,"verb,adj"
a man,12,0.0239,"other,noun"
the brushwork,12,0.0239,"other,noun"
life to,12,0.0239,"noun,other"
renaissance period,12,0.0239,"noun,noun"
holding a,12,0.0239,"verb,other"
two women,12,0.0239,"other,noun"
period the,12,0.0239,"noun,other"
elements that,12,0.0239,"noun,other"
turned slightly,12,0.0239,"verb,adv"
common in,12,0.0239,"adj,other"
title the,12,0.0239,"noun,other"
her arms,12,0.0239,"other,noun"
creating an,12,0.0239,"verb,other"
and greens,12,0.0239,"other,noun"
it the,12,0.0239,"other,other"
she appears,12,0.0239,"other,verb"
woman on,12,0.0239,"noun,other"
elegance and,12,0.0239,"noun,other"
with bold,12,0.0239,"other,verb"
human form,12,0.0239,"adj,noun"
two figures,12,0.0239,"other,noun"
and what,12,0.0239,"other,other"
woman dressed,12,0.0239,"noun,verb"
bold outlines,12,0.0239,"verb,verb"
and movement,12,0.0239,"other,noun"
artwork the,12,0.0239,"noun,other"
an outdoor,12,0.0239,"other,adj"
life painting,12,0.0239,"noun,verb"
background the,12,0.0239,"noun,other"
the presence,12,0.0239,"other,noun"
presence of,12,0.0239,"noun,other"
s an,12,0.0239,"noun,other"
image shows,12,0.0239,"noun,verb"
atmosphere of,12,0.0239,"adv,other"
no visible,12,0.0239,"other,adj"
she s,12,0.0239,"other,noun"
that has,12,0.0239,"other,verb"
the sea,12,0.0239,"other,noun"
this technique,12,0.0239,"other,noun"
with flowers,12,0.0239,"other,noun"
where the,12,0.0239,"other,other"
a tender,12,0.0239,"other,noun"
cassatt s,12,0.0239,"noun,noun"
gogh s,12,0.0239,"noun,noun"
by a,11,0.0219,"other,other"
of his,11,0.0219,"other,other"
but also,11,0.0219,"other,adv"
provided is,11,0.0219,"verb,verb"
its use,11,0.0219,"other,verb"
tones with,11,0.0219,"noun,other"
is simple,11,0.0219,"verb,noun"
and his,11,0.0219,"other,other"
focuses on,11,0.0219,"noun,other"
contributes to,11,0.0219,"noun,other"
a realistic,11,0.0219,"other,adj"
hues that,11,0.0219,"noun,other"
approach to,11,0.0219,"noun,other"
stylized representation,11,0.0219,"verb,noun"
used in,11,0.0219,"adj,other"
near the,11,0.0219,"other,other"
adds depth,11,0.0219,"verb,adj"
enhances the,11,0.0219,"verb,other"
brushwork is,11,0.0219,"noun,verb"
while also,11,0.0219,"other,adv"
the late,11,0.0219,"other,adj"
he is,11,0.0219,"other,verb"
is indicative,11,0.0219,"verb,adj"
the individual,11,0.0219,"other,adj"
slightly to,11,0.0219,"adv,other"
s pose,11,0.0219,"noun,verb"
aligns with,11,0.0219,"noun,other"
one side,11,0.0219,"other,verb"
a hint,11,0.0219,"other,adj"
hint of,11,0.0219,"adj,other"
areas of,11,0.0219,"noun,other"
for her,11,0.0219,"other,other"
signature is,11,0.0219,"noun,verb"
image is,11,0.0219,"noun,verb"
suggesting it,11,0.0219,"verb,other"
in what,11,0.0219,"other,other"
a common,11,0.0219,"other,adj"
and possibly,11,0.0219,"other,adv"
is on,11,0.0219,"verb,other"
the way,11,0.0219,"other,noun"
and serene,11,0.0219,"other,adj"
the loose,11,0.0219,"other,adj"
a window,11,0.0219,"other,verb"
image features,11,0.0219,"noun,noun"
painting that,11,0.0219,"verb,other"
blue and,11,0.0219,"noun,other"
a tranquil,11,0.0219,"other,noun"
the fleeting,11,0.0219,"other,verb"
fleeting effects,11,0.0219,"verb,noun"
effects of,11,0.0219,"noun,other"
quality the,11,0.0219,"noun,other"
of blue,11,0.0219,"other,noun"
for a,11,0.0219,"other,other"
in front,11,0.0219,"other,adj"
front of,11,0.0219,"adj,other"
a child,11,0.0219,"other,noun"
and appears,11,0.0219,"other,verb"
above the,11,0.0219,"other,other"
engrossed in,11,0.0219,"verb,other"
a touch,11,0.0219,"other,adj"
touch of,11,0.0219,"adj,other"
is loose,11,0.0219,"verb,adj"
with various,11,0.0219,"other,adj"
the table,11,0.0219,"other,noun"
element to,11,0.0219,"noun,other"
was known,11,0.0219,"verb,verb"
picasso s,11,0.0219,"noun,noun"
by henri,11,0.0219,"other,adj"
and patterns,10,0.0199,"other,noun"
is indeed,10,0.0199,"verb,adv"
with long,10,0.0199,"other,adj"
the face,10,0.0199,"other,verb"
the darker,10,0.0199,"other,noun"
suggests that,10,0.0199,"verb,other"
s style,10,0.0199,"noun,noun"
painting s,10,0.0199,"verb,noun"
a clear,10,0.0199,"other,adj"
the main,10,0.0199,"other,adj"
could suggest,10,0.0199,"other,noun"
a natural,10,0.0199,"other,adj"
and often,10,0.0199,"other,adv"
giving the,10,0.0199,"verb,other"
a striking,10,0.0199,"other,verb"
is signed,10,0.0199,"verb,verb"
left corner,10,0.0199,"verb,noun"
it was,10,0.0199,"other,verb"
the surrounding,10,0.0199,"other,verb"
clothing the,10,0.0199,"verb,other"
which gives,10,0.0199,"other,verb"
a prominent,10,0.0199,"other,noun"
which suggests,10,0.0199,"other,verb"
are vibrant,10,0.0199,"verb,adj"
the sense,10,0.0199,"other,verb"
her posture,10,0.0199,"other,noun"
directed towards,10,0.0199,"verb,noun"
be in,10,0.0199,"verb,other"
towards us,10,0.0199,"noun,other"
to one,10,0.0199,"other,other"
vibrant with,10,0.0199,"adj,other"
colors to,10,0.0199,"noun,other"
color in,10,0.0199,"noun,other"
striking with,10,0.0199,"verb,other"
looks like,10,0.0199,"noun,other"
the signature,10,0.0199,"other,noun"
as suggested,10,0.0199,"other,verb"
her left,10,0.0199,"other,verb"
of what,10,0.0199,"other,other"
stands out,10,0.0199,"verb,other"
sitting on,10,0.0199,"verb,other"
expression on,10,0.0199,"noun,other"
over detail,10,0.0199,"other,noun"
aesthetic of,10,0.0199,"adj,other"
presents a,10,0.0199,"noun,other"
viewer the,10,0.0199,"noun,other"
figure in,10,0.0199,"noun,other"
add depth,10,0.0199,"adj,adj"
off to,10,0.0199,"other,other"
a contrast,10,0.0199,"other,noun"
and bold,10,0.0199,"other,verb"
piece the,10,0.0199,"noun,other"
serene atmosphere,10,0.0199,"adj,adv"
outdoor setting,10,0.0199,"adj,verb"
a classical,10,0.0199,"other,adj"
overall effect,10,0.0199,"adj,noun"
s attention,10,0.0199,"noun,noun"
an open,10,0.0199,"other,adj"
at a,10,0.0199,"other,other"
based on,10,0.0199,"verb,other"
impressionist art,10,0.0199,"adj,noun"
and yellow,10,0.0199,"other,adj"
about the,10,0.0199,"other,other"
historical or,10,0.0199,"adj,other"
be part,10,0.0199,"verb,noun"
with their,10,0.0199,"other,other"
suggests it,10,0.0199,"verb,other"
a long,10,0.0199,"other,adj"
are soft,10,0.0199,"verb,adj"
impressionism with,10,0.0199,"noun,other"
throughout the,10,0.0199,"other,other"
impressionistic style,10,0.0199,"adj,noun"
colored dress,10,0.0199,"adj,noun"
impressionist painting,10,0.0199,"adj,verb"
it might,10,0.0199,"other,other"
the brushstrokes,10,0.0199,"other,noun"
red and,10,0.0199,"adj,other"
the house,10,0.0199,"other,noun"
of naïve,10,0.0199,"other,noun"
chagall s,10,0.0199,"verb,noun"
her right,10,0.0199,"other,adj"
by mary,10,0.0199,"other,adj"
form the,9,0.0179,"noun,other"
warm hues,9,0.0179,"adj,noun"
not just,9,0.0179,"adv,adv"
done in,9,0.0179,"verb,other"
the expressionist,9,0.0179,"other,verb"
and expression,9,0.0179,"other,noun"
seated with,9,0.0179,"verb,other"
is quite,9,0.0179,"verb,adv"
s ability,9,0.0179,"noun,noun"
viewers to,9,0.0179,"noun,other"
style by,9,0.0179,"noun,other"
indoor setting,9,0.0179,"adj,verb"
genre of,9,0.0179,"noun,other"
three dimensionality,9,0.0179,"other,noun"
piece is,9,0.0179,"noun,verb"
that adds,9,0.0179,"other,verb"
as an,9,0.0179,"other,other"
it features,9,0.0179,"other,noun"
is consistent,9,0.0179,"verb,adj"
and green,9,0.0179,"other,adj"
the ground,9,0.0179,"other,noun"
overall style,9,0.0179,"adj,noun"
than the,9,0.0179,"other,other"
and shapes,9,0.0179,"other,noun"
the impression,9,0.0179,"other,noun"
behind the,9,0.0179,"other,other"
stand out,9,0.0179,"noun,other"
on color,9,0.0179,"other,noun"
style that,9,0.0179,"noun,other"
a peaceful,9,0.0179,"other,adj"
water s,9,0.0179,"noun,noun"
background that,9,0.0179,"noun,other"
with his,9,0.0179,"other,other"
gaze directed,9,0.0179,"noun,verb"
who appears,9,0.0179,"other,verb"
blues and,9,0.0179,"noun,other"
is balanced,9,0.0179,"verb,verb"
detail in,9,0.0179,"noun,other"
a historical,9,0.0179,"other,adj"
architectural elements,9,0.0179,"adj,noun"
left of,9,0.0179,"verb,other"
of mary,9,0.0179,"other,adj"
right of,9,0.0179,"adj,other"
with two,9,0.0179,"other,other"
titled the,9,0.0179,"verb,other"
woman in,9,0.0179,"noun,other"
an art,9,0.0179,"other,noun"
