bigrams,count,percentage,pos
depth and,725,0.1019,"noun,other"
typical of,721,0.1013,"adj,other"
palette is,717,0.1008,"noun,verb"
the colors,707,0.0994,"other,noun"
the foreground,697,0.098,"other,noun"
ve provided,694,0.0975,"noun,verb"
central figure,676,0.095,"adj,noun"
filled with,667,0.0937,"verb,other"
what appears,662,0.093,"other,verb"
there is,654,0.0919,"adv,verb"
and shadow,651,0.0915,"other,adj"
background is,622,0.0874,"other,verb"
art style,618,0.0869,"adv,noun"
contributing to,603,0.0847,"verb,other"
the art,581,0.0817,"other,adv"
on a,578,0.0812,"other,other"
the figure,570,0.0801,"other,noun"
is characterized,565,0.0794,"verb,verb"
this artwork,554,0.0779,"other,noun"
of movement,552,0.0776,"other,noun"
as a,548,0.077,"other,other"
colors and,548,0.077,"noun,other"
movement and,548,0.077,"noun,other"
the left,546,0.0767,"other,verb"
might be,538,0.0756,"other,verb"
the right,537,0.0755,"other,noun"
associated with,529,0.0743,"verb,other"
to detail,528,0.0742,"other,noun"
suggesting a,524,0.0736,"verb,other"
representation of,519,0.0729,"noun,other"
of depth,512,0.072,"other,noun"
it features,507,0.0713,"other,noun"
has a,502,0.0706,"verb,other"
the center,497,0.0698,"other,noun"
provided appears,496,0.0697,"verb,verb"
shapes and,495,0.0696,"noun,other"
the sky,491,0.069,"other,adj"
as the,491,0.069,"other,other"
a large,486,0.0683,"other,adj"
seem to,485,0.0682,"verb,other"
or a,481,0.0676,"other,other"
color and,478,0.0672,"noun,other"
in this,477,0.067,"other,other"
for his,475,0.0668,"other,other"
rather than,469,0.0659,"adv,other"
appear to,463,0.0651,"adj,other"
suggests a,461,0.0648,"verb,other"
a dynamic,457,0.0642,"other,adj"
that is,450,0.0632,"other,verb"
shows a,448,0.063,"verb,other"
the canvas,448,0.063,"other,noun"
that are,446,0.0627,"other,verb"
of art,445,0.0625,"other,adv"
reminiscent of,441,0.062,"adj,other"
overall composition,441,0.062,"adj,noun"
a vibrant,438,0.0616,"other,noun"
one of,431,0.0606,"other,other"
a scene,430,0.0604,"other,noun"
figures are,429,0.0603,"noun,verb"
that could,429,0.0603,"other,other"
figure is,428,0.0602,"noun,verb"
engaged in,426,0.0599,"verb,other"
overall the,426,0.0599,"adj,other"
background features,425,0.0597,"other,noun"
it is,425,0.0597,"other,verb"
for its,421,0.0592,"other,other"
of this,419,0.0589,"other,other"
the subject,417,0.0586,"other,adj"
in an,415,0.0583,"other,other"
colors are,415,0.0583,"noun,verb"
shades of,414,0.0582,"noun,other"
part of,414,0.0582,"noun,other"
lines and,414,0.0582,"noun,other"
be interpreted,414,0.0582,"verb,verb"
composition the,412,0.0579,"noun,other"
rendered in,411,0.0578,"verb,other"
due to,406,0.0571,"adj,other"
interpreted as,405,0.0569,"verb,other"
to create,400,0.0562,"other,noun"
depth to,399,0.0561,"noun,other"
a woman,398,0.0559,"other,noun"
scene from,397,0.0558,"noun,other"
style the,397,0.0558,"noun,other"
geometric shapes,397,0.0558,"noun,noun"
towards the,397,0.0558,"noun,other"
depiction of,393,0.0552,"noun,other"
artist has,391,0.055,"noun,verb"
that appears,390,0.0548,"other,verb"
an abstract,389,0.0547,"other,adj"
this piece,388,0.0545,"other,noun"
create a,388,0.0545,"noun,other"
they are,387,0.0544,"other,verb"
viewers to,384,0.054,"noun,other"
indicative of,383,0.0538,"adj,other"
adding to,379,0.0533,"verb,other"
the bottom,377,0.053,"other,other"
adorned with,375,0.0527,"verb,other"
the woman,372,0.0523,"other,noun"
for the,369,0.0519,"other,other"
image shows,369,0.0519,"noun,verb"
suggests that,368,0.0517,"verb,other"
which are,368,0.0517,"other,verb"
can be,368,0.0517,"other,verb"
focus on,364,0.0512,"noun,other"
is filled,360,0.0506,"verb,verb"
art the,359,0.0505,"adv,other"
which adds,352,0.0495,"other,verb"
is known,350,0.0492,"verb,verb"
a small,348,0.0489,"other,adj"
he is,347,0.0488,"other,verb"
right corner,344,0.0483,"noun,noun"
across the,344,0.0483,"other,other"
through the,342,0.0481,"other,other"
she is,341,0.0479,"other,verb"
side of,341,0.0479,"noun,other"
piece the,340,0.0478,"noun,other"
a painting,340,0.0478,"other,noun"
a moment,338,0.0475,"other,noun"
that the,331,0.0465,"other,other"
what seems,330,0.0464,"other,verb"
that this,329,0.0462,"other,other"
with its,328,0.0461,"other,other"
this is,327,0.046,"other,verb"
in various,327,0.046,"other,adj"
artwork the,327,0.046,"noun,other"
each other,326,0.0458,"other,adj"
be an,325,0.0457,"verb,other"
the setting,324,0.0455,"other,verb"
as if,323,0.0454,"other,other"
art titled,323,0.0454,"adv,verb"
a man,321,0.0451,"other,noun"
northern renaissance,320,0.045,"adj,noun"
is one,318,0.0447,"verb,other"
indicated by,316,0.0444,"verb,other"
atmosphere of,316,0.0444,"adv,other"
pop art,313,0.044,"noun,adv"
detail and,312,0.0438,"noun,other"
with an,312,0.0438,"other,other"
elements that,311,0.0437,"noun,other"
earth tones,309,0.0434,"verb,noun"
nature of,307,0.0431,"noun,other"
foreground there,305,0.0429,"noun,adv"
as indicated,303,0.0426,"other,verb"
the other,303,0.0426,"other,adj"
painting the,301,0.0423,"noun,other"
to a,301,0.0423,"other,other"
captures a,300,0.0422,"verb,other"
as well,299,0.042,"other,adv"
that suggests,291,0.0409,"other,verb"
is rich,289,0.0406,"verb,adj"
created by,286,0.0402,"verb,other"
art informel,286,0.0402,"adv,noun"
and is,285,0.0401,"other,verb"
and form,284,0.0399,"other,noun"
which could,283,0.0398,"other,other"
color field,282,0.0396,"noun,noun"
executed in,282,0.0396,"verb,other"
which often,282,0.0396,"other,adv"
looks like,281,0.0395,"noun,other"
brushstrokes and,279,0.0392,"noun,other"
from a,278,0.0391,"other,other"
or perhaps,278,0.0391,"other,adv"
contribute to,277,0.0389,"noun,other"
into the,277,0.0389,"other,other"
its emphasis,277,0.0389,"other,noun"
artwork depicts,276,0.0388,"noun,verb"
during the,275,0.0386,"other,other"
adds to,275,0.0386,"verb,other"
dominated by,273,0.0384,"verb,other"
depicted in,273,0.0384,"verb,other"
and an,273,0.0384,"other,other"
with various,272,0.0382,"other,adj"
forms and,272,0.0382,"noun,other"
an emphasis,272,0.0382,"other,noun"
wearing a,271,0.0381,"verb,other"
composition is,270,0.0379,"noun,verb"
the lower,270,0.0379,"other,adv"
to convey,269,0.0378,"other,noun"
style characterized,269,0.0378,"noun,verb"
is evident,268,0.0377,"verb,adj"
against the,267,0.0375,"other,other"
artwork titled,267,0.0375,"noun,verb"
viewer s,267,0.0375,"noun,noun"
vibrant and,267,0.0375,"noun,other"
bold colors,266,0.0374,"adj,noun"
be seen,266,0.0374,"verb,verb"
adding a,264,0.0371,"verb,other"
is depicted,263,0.037,"verb,verb"
of blue,262,0.0368,"other,adj"
is an,261,0.0367,"verb,other"
artwork features,261,0.0367,"noun,noun"
their own,261,0.0367,"other,adj"
and color,260,0.0365,"other,noun"
that suggest,260,0.0365,"other,verb"
subject matter,258,0.0363,"adj,noun"
elements of,254,0.0357,"noun,other"
against a,253,0.0356,"other,other"
evident in,253,0.0356,"adj,other"
the sculpture,250,0.0351,"other,noun"
lyrical abstraction,249,0.035,"adj,noun"
scene with,248,0.0349,"noun,other"
left side,248,0.0349,"verb,noun"
a figure,248,0.0349,"other,noun"
of an,247,0.0347,"other,other"
this particular,247,0.0347,"other,adj"
was created,246,0.0346,"verb,verb"
the water,246,0.0346,"other,noun"
figures and,242,0.034,"noun,other"
creates a,242,0.034,"verb,other"
field painting,242,0.034,"noun,noun"
dominating the,242,0.034,"verb,other"
colors used,241,0.0339,"noun,verb"
the essence,241,0.0339,"other,noun"
that seem,240,0.0337,"other,verb"
well as,238,0.0334,"adv,other"
this image,237,0.0333,"other,noun"
the man,236,0.0332,"other,noun"
three dimensional,236,0.0332,"other,adj"
right side,235,0.033,"noun,noun"
is executed,235,0.033,"verb,verb"
essence of,234,0.0329,"noun,other"
what looks,233,0.0327,"other,noun"
like a,233,0.0327,"other,other"
captures the,233,0.0327,"verb,other"
center of,232,0.0326,"noun,other"
while the,232,0.0326,"other,other"
renaissance period,229,0.0322,"noun,noun"
forms that,229,0.0322,"noun,other"
a dark,228,0.032,"other,noun"
s signature,227,0.0319,"noun,noun"
is dressed,227,0.0319,"verb,verb"
suggest a,226,0.0318,"verb,other"
form and,226,0.0318,"noun,other"
by a,224,0.0315,"other,other"
are characteristic,224,0.0315,"verb,adj"
a portrait,224,0.0315,"other,noun"
mood of,223,0.0313,"noun,other"
suggested by,223,0.0313,"verb,other"
a serene,221,0.0311,"other,noun"
painting style,219,0.0308,"noun,noun"
background there,218,0.0306,"other,adv"
and forms,217,0.0305,"other,noun"
portrait of,216,0.0304,"noun,other"
group of,216,0.0304,"noun,other"
loose and,215,0.0302,"adj,other"
a young,215,0.0302,"other,adj"
is visible,214,0.0301,"verb,adj"
image is,214,0.0301,"noun,verb"
possibly a,214,0.0301,"adv,other"
is dominated,214,0.0301,"verb,verb"
the landscape,214,0.0301,"other,noun"
the top,214,0.0301,"other,adj"
moment of,212,0.0298,"noun,other"
figure that,211,0.0297,"noun,other"
presents a,211,0.0297,"noun,other"
creating an,211,0.0297,"verb,other"
given the,210,0.0295,"verb,other"
to evoke,210,0.0295,"other,verb"
to interpret,210,0.0295,"other,noun"
the northern,210,0.0295,"other,adj"
figures that,210,0.0295,"noun,other"
the work,208,0.0292,"other,noun"
areas of,208,0.0292,"noun,other"
abstract expressionism,208,0.0292,"adj,noun"
contrasts with,208,0.0292,"noun,other"
visible in,206,0.029,"adj,other"
a high,206,0.029,"other,adj"
where the,205,0.0288,"other,other"
overall mood,205,0.0288,"adj,noun"
ve shared,205,0.0288,"noun,verb"
a group,205,0.0288,"other,noun"
a realistic,205,0.0288,"other,adj"
depicted with,204,0.0287,"verb,other"
s work,203,0.0285,"noun,noun"
the baroque,203,0.0285,"other,noun"
capturing the,202,0.0284,"verb,other"
loose brushstrokes,201,0.0282,"adj,noun"
reflecting the,201,0.0282,"verb,other"
to its,200,0.0281,"other,other"
related to,200,0.0281,"verb,other"
is wearing,199,0.028,"verb,verb"
vibrant colors,198,0.0278,"noun,noun"
is reminiscent,198,0.0278,"verb,adj"
with one,198,0.0278,"other,other"
consistent with,198,0.0278,"adj,other"
and energy,197,0.0277,"other,noun"
hints of,197,0.0277,"noun,other"
is typical,197,0.0277,"verb,adj"
the abstract,197,0.0277,"other,adj"
a landscape,197,0.0277,"other,noun"
between the,196,0.0275,"other,other"
the brushwork,196,0.0275,"other,noun"
in what,196,0.0275,"other,other"
and movement,196,0.0275,"other,noun"
be in,195,0.0274,"verb,other"
and expressive,195,0.0274,"other,adj"
and white,194,0.0273,"other,adj"
a dramatic,194,0.0273,"other,adj"
the lighting,194,0.0273,"other,verb"
red and,194,0.0273,"verb,other"
a way,194,0.0273,"other,noun"
a white,194,0.0273,"other,adj"
composition and,193,0.0271,"noun,other"
muted with,193,0.0271,"verb,other"
blue and,193,0.0271,"adj,other"
style which,192,0.027,"noun,other"
are also,192,0.027,"verb,adv"
the natural,192,0.027,"other,adj"
this style,192,0.027,"other,noun"
is titled,191,0.0268,"verb,verb"
providing a,191,0.0268,"verb,other"
displays a,190,0.0267,"noun,other"
often associated,189,0.0266,"adv,verb"
early renaissance,189,0.0266,"adv,noun"
of his,189,0.0266,"other,other"
presence of,189,0.0266,"noun,other"
but also,189,0.0266,"other,adv"
are no,188,0.0264,"verb,other"
and possibly,187,0.0263,"other,adv"
is rendered,187,0.0263,"verb,verb"
enhancing the,186,0.0261,"verb,other"
two figures,186,0.0261,"other,noun"
is not,186,0.0261,"verb,adv"
emphasizing the,186,0.0261,"verb,other"
around the,186,0.0261,"other,other"
that give,186,0.0261,"other,adj"
emotion and,185,0.026,"noun,other"
the rococo,185,0.026,"other,noun"
as an,184,0.0259,"other,other"
and dynamic,184,0.0259,"other,adj"
on her,184,0.0259,"other,other"
hair and,183,0.0257,"noun,other"
way that,183,0.0257,"noun,other"
with her,183,0.0257,"other,other"
title the,182,0.0256,"noun,other"
post impressionist,182,0.0256,"noun,verb"
are depicted,182,0.0256,"verb,verb"
the ground,181,0.0254,"other,noun"
invites viewers,181,0.0254,"verb,noun"
the presence,181,0.0254,"other,noun"
a focus,180,0.0253,"other,noun"
gives the,180,0.0253,"verb,other"
painted in,180,0.0253,"verb,other"
body of,180,0.0253,"noun,other"
painting titled,180,0.0253,"noun,verb"
of pop,180,0.0253,"other,noun"
shapes that,179,0.0252,"noun,other"
background the,179,0.0252,"other,other"
atmosphere the,179,0.0252,"adv,other"
the sense,179,0.0252,"other,noun"
that create,178,0.025,"other,noun"
features an,178,0.025,"noun,other"
art genre,178,0.025,"adv,verb"
overall style,178,0.025,"adj,noun"
abstract expressionist,178,0.025,"adj,noun"
expressionist art,178,0.025,"noun,adv"
of her,178,0.025,"other,other"
magic realism,178,0.025,"noun,noun"
brushstrokes that,177,0.0249,"noun,other"
indicating that,177,0.0249,"verb,other"
who is,177,0.0249,"other,verb"
setting the,177,0.0249,"verb,other"
yellow and,177,0.0249,"adj,other"
is seated,176,0.0247,"verb,verb"
and their,176,0.0247,"other,other"
based on,176,0.0247,"verb,other"
overall effect,176,0.0247,"adj,noun"
seated on,175,0.0246,"verb,other"
of nature,175,0.0246,"other,noun"
of water,175,0.0246,"other,noun"
renaissance art,175,0.0246,"noun,adv"
image displays,175,0.0246,"noun,noun"
colors that,175,0.0246,"noun,other"
high renaissance,175,0.0246,"adj,noun"
impression of,175,0.0246,"verb,other"
this painting,174,0.0245,"other,noun"
lines that,174,0.0245,"noun,other"
figure s,174,0.0245,"noun,noun"
may be,173,0.0243,"other,verb"
movement the,173,0.0243,"noun,other"
period the,173,0.0243,"noun,other"
was known,173,0.0243,"verb,verb"
bright colors,172,0.0242,"adj,noun"
level of,172,0.0242,"noun,other"
suggesting an,172,0.0242,"verb,other"
s an,172,0.0242,"noun,other"
to capture,172,0.0242,"other,noun"
example of,171,0.024,"noun,other"
color is,171,0.024,"noun,verb"
portrays a,171,0.024,"verb,other"
surrounded by,170,0.0239,"verb,other"
to her,170,0.0239,"other,other"
we see,170,0.0239,"other,verb"
in his,169,0.0238,"other,other"
suggesting that,169,0.0238,"verb,other"
the early,169,0.0238,"other,adv"
titled the,169,0.0238,"verb,other"
of red,168,0.0236,"other,verb"
art it,168,0.0236,"adv,other"
and what,168,0.0236,"other,other"
painting that,168,0.0236,"noun,other"
with what,168,0.0236,"other,other"
known as,167,0.0235,"verb,other"
bottom right,166,0.0233,"other,noun"
aligns with,166,0.0233,"noun,other"
the genre,165,0.0232,"other,verb"
are dressed,165,0.0232,"verb,verb"
adds depth,165,0.0232,"verb,noun"
that seems,165,0.0232,"other,verb"
quality of,165,0.0232,"noun,other"
with visible,165,0.0232,"other,adj"
adding depth,165,0.0232,"verb,noun"
the time,164,0.023,"other,noun"
lower right,164,0.023,"adv,noun"
a stylized,164,0.023,"other,verb"
adds a,164,0.023,"verb,other"
and vibrant,163,0.0229,"other,noun"
image presents,163,0.0229,"noun,noun"
facial features,162,0.0228,"adj,noun"
trees and,162,0.0228,"noun,other"
movement or,162,0.0228,"noun,other"
are not,162,0.0228,"verb,adv"
s face,161,0.0226,"noun,noun"
its use,161,0.0226,"other,noun"
that it,161,0.0226,"other,other"
rendered with,161,0.0226,"verb,other"
are several,160,0.0225,"verb,adj"
woman s,159,0.0223,"noun,noun"
scene that,159,0.0223,"noun,other"
and texture,159,0.0223,"other,noun"
is indeed,159,0.0223,"verb,adv"
painting captures,158,0.0222,"noun,verb"
piece is,158,0.0222,"noun,verb"
with clouds,158,0.0222,"other,noun"
a historical,157,0.0221,"other,adj"
this central,157,0.0221,"other,adj"
and lines,157,0.0221,"other,noun"
rich and,157,0.0221,"adj,other"
that add,157,0.0221,"other,noun"
composition with,157,0.0221,"noun,other"
the emotional,157,0.0221,"other,adj"
clothing and,156,0.0219,"verb,other"
texture and,156,0.0219,"noun,other"
about the,156,0.0219,"other,other"
still life,156,0.0219,"adv,noun"
that resembles,155,0.0218,"other,noun"
at a,155,0.0218,"other,other"
the room,155,0.0218,"other,noun"
as suggested,155,0.0218,"other,verb"
a red,155,0.0218,"other,verb"
and use,155,0.0218,"other,noun"
it might,155,0.0218,"other,other"
and somewhat,155,0.0218,"other,adv"
is also,154,0.0216,"verb,adv"
while others,154,0.0216,"other,noun"
in their,154,0.0216,"other,other"
front of,153,0.0215,"adj,other"
sky is,153,0.0215,"adj,verb"
the way,153,0.0215,"other,noun"
has used,152,0.0214,"verb,verb"
have been,152,0.0214,"verb,verb"
does not,152,0.0214,"verb,adv"
above the,152,0.0214,"other,other"
that might,152,0.0214,"other,other"
impressionist style,151,0.0212,"verb,noun"
with some,151,0.0212,"other,other"
inviting viewers,151,0.0212,"verb,noun"
within a,151,0.0212,"other,other"
effect is,151,0.0212,"noun,verb"
indicating the,150,0.0211,"verb,other"
it a,150,0.0211,"other,other"
realistic representation,150,0.0211,"adj,noun"
in front,149,0.0209,"other,adj"
under a,149,0.0209,"other,other"
the portrait,149,0.0209,"other,noun"
is often,149,0.0209,"verb,adv"
holding a,149,0.0209,"verb,other"
her head,149,0.0209,"other,noun"
contributes to,149,0.0209,"verb,other"
of realism,148,0.0208,"other,noun"
with his,148,0.0208,"other,other"
s style,148,0.0208,"noun,noun"
style and,148,0.0208,"noun,other"
who appears,147,0.0207,"other,verb"
image the,147,0.0207,"noun,other"
on his,147,0.0207,"other,other"
genre of,146,0.0205,"verb,other"
scene in,146,0.0205,"noun,other"
sky above,146,0.0205,"adj,other"
holds a,146,0.0205,"verb,other"
of colors,146,0.0205,"other,noun"
landscape with,146,0.0205,"noun,other"
or the,146,0.0205,"other,other"
renaissance style,145,0.0204,"noun,noun"
as it,144,0.0202,"other,other"
in her,144,0.0202,"other,other"
s use,144,0.0202,"noun,noun"
art that,144,0.0202,"adv,other"
architectural elements,143,0.0201,"adj,noun"
which was,143,0.0201,"other,verb"
painting s,143,0.0201,"noun,noun"
s attention,143,0.0201,"noun,noun"
visible brushstrokes,142,0.02,"adj,noun"
conveys a,142,0.02,"noun,other"
the distance,142,0.02,"other,noun"
rich with,142,0.02,"adj,other"
suggests it,142,0.02,"verb,other"
provided is,142,0.02,"verb,verb"
are two,141,0.0198,"verb,other"
detail in,141,0.0198,"noun,other"
on their,141,0.0198,"other,other"
painting features,141,0.0198,"noun,noun"
simplicity and,140,0.0197,"noun,other"
tones dominating,140,0.0197,"noun,verb"
neo expressionism,140,0.0197,"adj,noun"
of bold,140,0.0197,"other,adj"
which gives,139,0.0195,"other,verb"
near the,139,0.0195,"other,other"
along with,139,0.0195,"other,other"
are rendered,139,0.0195,"verb,verb"
a common,138,0.0194,"other,adj"
of cubism,138,0.0194,"other,noun"
the clothing,138,0.0194,"other,verb"
the focus,138,0.0194,"other,noun"
on what,138,0.0194,"other,other"
dynamic and,138,0.0194,"adj,other"
she has,138,0.0194,"other,verb"
with their,138,0.0194,"other,other"
resembles a,137,0.0193,"noun,other"
a clear,137,0.0193,"other,adj"
to have,137,0.0193,"other,verb"
that resemble,137,0.0193,"other,adj"
with each,136,0.0191,"other,other"
consists of,136,0.0191,"verb,other"
these elements,136,0.0191,"other,noun"
capture the,136,0.0191,"noun,other"
the impression,136,0.0191,"other,verb"
detailed and,135,0.019,"verb,other"
focusing on,135,0.019,"verb,other"
blues and,135,0.019,"noun,other"
with earth,135,0.019,"other,verb"
the high,135,0.019,"other,adj"
the human,135,0.019,"other,adj"
seen in,135,0.019,"verb,other"
a classical,135,0.019,"other,adj"
and shapes,134,0.0188,"other,noun"
dynamic composition,134,0.0188,"adj,noun"
suggesting it,133,0.0187,"verb,other"
is quite,133,0.0187,"verb,adv"
includes a,133,0.0187,"verb,other"
that appear,133,0.0187,"other,adj"
suggests an,133,0.0187,"verb,other"
which contrasts,132,0.0186,"other,noun"
giving the,132,0.0186,"verb,other"
a person,131,0.0184,"other,noun"
emotional expression,131,0.0184,"adj,noun"
figure in,131,0.0184,"noun,other"
throughout the,131,0.0184,"other,other"
elements the,131,0.0184,"noun,other"
expressionist style,130,0.0183,"noun,noun"
painting with,130,0.0183,"noun,other"
the cubist,130,0.0183,"other,verb"
elements such,130,0.0183,"noun,adj"
canvas the,130,0.0183,"noun,other"
figure appears,130,0.0183,"noun,verb"
has been,130,0.0183,"verb,verb"
the frame,130,0.0183,"other,noun"
his work,130,0.0183,"other,noun"
of lyrical,130,0.0183,"other,adj"
art movement,129,0.0181,"adv,noun"
no visible,129,0.0181,"other,adj"
an open,129,0.0181,"other,adj"
which might,129,0.0181,"other,other"
and it,128,0.018,"other,other"
the middle,128,0.018,"other,adj"
focus is,128,0.018,"noun,verb"
and green,128,0.018,"other,adj"
a strong,128,0.018,"other,adj"
is likely,128,0.018,"verb,adj"
artwork s,128,0.018,"noun,noun"
indicating a,128,0.018,"verb,other"
that contribute,127,0.0178,"other,noun"
a representation,127,0.0178,"other,noun"
scene is,127,0.0178,"noun,verb"
the surrounding,127,0.0178,"other,verb"
forms the,127,0.0178,"noun,other"
corner of,127,0.0178,"noun,other"
this figure,127,0.0178,"other,noun"
note that,127,0.0178,"noun,other"
and colors,127,0.0178,"other,noun"
ability to,127,0.0178,"noun,other"
face and,127,0.0178,"noun,other"
color to,126,0.0177,"noun,other"
of geometric,126,0.0177,"other,noun"
a tranquil,126,0.0177,"other,adj"
tones that,126,0.0177,"noun,other"
which suggests,126,0.0177,"other,verb"
the dynamic,126,0.0177,"other,adj"
done in,125,0.0176,"verb,other"
and blue,125,0.0176,"other,adj"
s name,125,0.0176,"noun,noun"
a natural,125,0.0176,"other,adj"
to represent,125,0.0176,"other,adj"
emphasizes the,125,0.0176,"verb,other"
of tranquility,124,0.0174,"other,noun"
figures in,124,0.0174,"noun,other"
artwork captures,124,0.0174,"noun,verb"
central focus,124,0.0174,"adj,noun"
brushwork is,124,0.0174,"noun,verb"
that includes,123,0.0173,"other,verb"
a table,123,0.0173,"other,noun"
a series,123,0.0173,"other,noun"
and yellow,122,0.0171,"other,adj"
could represent,122,0.0171,"other,adj"
particular piece,122,0.0171,"adj,noun"
the physical,122,0.0171,"other,adj"
contrast to,122,0.0171,"noun,other"
is adorned,121,0.017,"verb,verb"
arranged in,121,0.017,"verb,other"
and gestural,121,0.017,"other,adj"
an outdoor,121,0.017,"other,adj"
rich in,120,0.0169,"adj,other"
bold lines,120,0.0169,"adj,noun"
used in,120,0.0169,"verb,other"
and light,120,0.0169,"other,adj"
arrangement of,120,0.0169,"adj,other"
around her,120,0.0169,"other,other"
an almost,120,0.0169,"other,adv"
additional context,120,0.0169,"adj,adj"
used are,120,0.0169,"verb,verb"
high level,119,0.0167,"adj,noun"
or possibly,119,0.0167,"other,adv"
it the,119,0.0167,"other,other"
it depicts,119,0.0167,"other,verb"
variety of,119,0.0167,"noun,other"
interplay of,119,0.0167,"verb,other"
abstract nature,119,0.0167,"adj,noun"
to their,118,0.0166,"other,other"
and his,118,0.0166,"other,other"
expression and,118,0.0166,"noun,other"
could suggest,118,0.0166,"other,verb"
by bold,118,0.0166,"other,adj"
a light,118,0.0166,"other,adj"
expression is,118,0.0166,"noun,verb"
of figures,118,0.0166,"other,noun"
hues of,117,0.0164,"noun,other"
work the,117,0.0164,"noun,other"
with intricate,117,0.0164,"other,adj"
is consistent,117,0.0164,"verb,adj"
tones of,117,0.0164,"noun,other"
is loose,117,0.0164,"verb,adj"
its attention,117,0.0164,"other,noun"
with bold,117,0.0164,"other,adj"
under the,117,0.0164,"other,other"
reflects the,117,0.0164,"verb,other"
of what,117,0.0164,"other,other"
is shown,116,0.0163,"verb,verb"
and complexity,116,0.0163,"other,noun"
image portrays,116,0.0163,"noun,verb"
a variety,116,0.0163,"other,noun"
possibly indicating,116,0.0163,"adv,verb"
an emotional,116,0.0163,"other,adj"
open to,116,0.0163,"adj,other"
flat areas,115,0.0162,"adj,noun"
it appears,115,0.0162,"other,verb"
a body,115,0.0162,"other,noun"
rolling hills,115,0.0162,"verb,verb"
the brushstrokes,114,0.016,"other,noun"
corner indicating,114,0.016,"noun,verb"
is indicative,114,0.016,"verb,adj"
moment in,113,0.0159,"noun,other"
be part,113,0.0159,"verb,noun"
he has,113,0.0159,"other,verb"
further emphasizing,113,0.0159,"adv,verb"
baroque style,113,0.0159,"noun,noun"
of people,113,0.0159,"other,noun"
yellows and,113,0.0159,"noun,other"
the texture,112,0.0157,"other,noun"
brushwork and,112,0.0157,"noun,other"
and textures,112,0.0157,"other,noun"
be from,112,0.0157,"verb,other"
themes of,112,0.0157,"noun,other"
rococo style,111,0.0156,"noun,noun"
attributed to,111,0.0156,"verb,other"
is muted,111,0.0156,"verb,verb"
is on,111,0.0156,"verb,other"
brush strokes,111,0.0156,"noun,noun"
time period,111,0.0156,"noun,noun"
elements in,111,0.0156,"noun,other"
of human,111,0.0156,"other,adj"
stand out,111,0.0156,"noun,other"
woman is,110,0.0155,"noun,verb"
stands out,110,0.0155,"verb,other"
suggesting movement,110,0.0155,"verb,noun"
dress with,110,0.0155,"noun,other"
of their,110,0.0155,"other,other"
attire and,110,0.0155,"noun,other"
artwork you,110,0.0155,"noun,other"
